request_id,text,expected,routing_decision,correct,latency_ms,success
1,"I love this product, it is absolutely amazing!",sentiment,sentiment,True,95.6,True
2,This is the worst experience I have ever had.,sentiment,sentiment,True,116.26,True
3,The movie was fantastic and I enjoyed every moment.,sentiment,sentiment,True,100.87,True
4,"I hate this service, it is terrible and slow.",sentiment,sentiment,True,100.04,True
5,The food was delicious and the staff was very friendly.,sentiment,sentiment,True,120.54,True
6,"I am very happy with my purchase, great quality!",sentiment,sentiment,True,101.73,True
7,"Worst product ever, completely disappointed.",sentiment,sentiment,True,108.2,True
8,Summarize this: Artificial intelligence is transforming industries across the world. Companies are i,summarization,summarization,True,3177.34,True
9,Please provide a brief summary of the following: The global economy has been experiencing significan,summarization,summarization,True,4158.7,True
10,Give me a tldr of this text: Climate change is one of the most pressing issues facing humanity today,summarization,summarization,True,4193.6,True
11,Condense this article: Space exploration has entered a new era with private companies joining govern,summarization,summarization,True,3425.18,True
12,Shorten this passage: Quantum computing represents a fundamental shift in computational power. Unlik,summarization,sentiment,False,146.63,True
13,Give me the main points of this: The human brain contains approximately 86 billion neurons. These ne,summarization,summarization,True,4201.96,True
14,Extract entities: Apple CEO Tim Cook announced new products in California.,ner,ner,True,246.92,True
15,Find the named entities: Elon Musk founded SpaceX in Hawthorne California.,ner,ner,True,246.92,True
16,Who are the people and organizations mentioned: Google was founded by Larry Page and Sergey Brin at ,ner,ner,True,249.13,True
17,Identify entities: Amazon CEO Andy Jassy visited their headquarters in Seattle Washington.,ner,ner,True,248.07,True
18,Extract all named entities from this: Microsoft and OpenAI are collaborating on AI research in San F,ner,ner,True,247.43,True
19,"Find persons, organizations and locations: Mark Zuckerberg leads Meta which is based in Menlo Park C",ner,ner,True,260.28,True
20,Identify who and where: Sundar Pichai is the CEO of Google which is headquartered in Mountain View.,ner,ner,True,258.81,True
